"comp"	"gene_id"	"gene_name"	"gene_type"	"padj"	"log2FoldChange"	"baseMean"	"auc"
"1"	"bacterial_infection<>viral_infection"	"ENSG00000146094.16"	"DOK3"	"protein_coding"	1.64277396036158e-06	-0.838553212634454	51.2438718336649	0.850286906624935
"2"	"bacterial_infection<>viral_infection"	"ENSG00000135842.17"	"NIBAN1"	"protein_coding"	1.95791620641551e-06	-1.08371295971023	101.28890207514	0.829420970266041
"3"	"bacterial_infection<>viral_infection"	"ENSG00000101265.16"	"RASSF2"	"protein_coding"	6.65162336318393e-05	-0.677713464905907	138.646408944307	0.827856025039124
"4"	"bacterial_infection<>viral_infection"	"ENSG00000184014.9"	"DENND5A"	"protein_coding"	2.01702722784072e-05	-0.782652010426643	62.7898194576488	0.825769431403234
"5"	"bacterial_infection<>viral_infection"	"ENSG00000176788.9"	"BASP1"	"protein_coding"	0.000133833541232067	-1.25857180095003	116.937409757854	0.823161189358372
"6"	"bacterial_infection<>viral_infection"	"ENSG00000151726.15"	"ACSL1"	"protein_coding"	3.55130462997963e-06	-1.38215855630387	104.269351207799	0.820031298904538
"7"	"bacterial_infection<>viral_infection"	"ENSG00000125753.14"	"VASP"	"protein_coding"	2.34314403801735e-05	-0.565277547647636	156.360023212667	0.816379760041732
"8"	"bacterial_infection<>viral_infection"	"ENSG00000132405.19"	"TBC1D14"	"protein_coding"	0.000186924203569703	-0.465133500078878	54.9614566314083	0.815336463223787
"9"	"bacterial_infection<>viral_infection"	"ENSG00000170525.21"	"PFKFB3"	"protein_coding"	1.95791620641551e-06	-1.32223248204484	59.6732168280241	0.81377151799687
"10"	"bacterial_infection<>viral_infection"	"ENSG00000172216.6"	"CEBPB"	"protein_coding"	0.000530240487224264	-0.989740434364617	73.6346105070264	0.810641627543036
"11"	"bacterial_infection<>viral_infection"	"ENSG00000163221.9"	"S100A12"	"protein_coding"	3.15115806434054e-09	-2.17469398298691	92.108335151755	0.810119979134064
"12"	"bacterial_infection<>viral_infection"	"ENSG00000160593.19"	"JAML"	"protein_coding"	0.000462552916221518	-0.939287133660931	61.4962841908892	0.806468440271257
"13"	"bacterial_infection<>viral_infection"	"ENSG00000163931.16"	"TKT"	"protein_coding"	3.05178760510036e-05	-0.659832519571608	181.41271401226	0.803338549817423
"14"	"bacterial_infection<>viral_infection"	"ENSG00000105835.13"	"NAMPT"	"protein_coding"	0.000297465040417527	-1.28701684545273	297.935931936721	0.801251956181534
"15"	"bacterial_infection<>viral_infection"	"ENSG00000165949.12"	"IFI27"	"protein_coding"	4.59989942021199e-06	1.74324018269166	73.0347952976758	0.799165362545644
"16"	"bacterial_infection<>viral_infection"	"ENSG00000145901.16"	"TNIP1"	"protein_coding"	1.72333187042365e-05	-0.589639856977855	202.394400685972	0.798643714136672
"17"	"bacterial_infection<>viral_infection"	"ENSG00000189067.14"	"LITAF"	"protein_coding"	5.31922694467845e-05	-0.845771325794524	130.646615738593	0.797600417318727
"18"	"bacterial_infection<>viral_infection"	"ENSG00000113916.18"	"BCL6"	"protein_coding"	0.000199852572215018	-0.898840807853209	54.888047258728	0.795513823682838
"19"	"bacterial_infection<>viral_infection"	"ENSG00000075426.12"	"FOSL2"	"protein_coding"	2.34314403801735e-05	-0.934595370605347	63.41397305807	0.794470526864893
"20"	"bacterial_infection<>viral_infection"	"ENSG00000167552.15"	"TUBA1A"	"protein_coding"	0.016093455600801	-0.664249967601421	63.6009056516858	0.791340636411059
"21"	"bacterial_infection<>viral_infection"	"ENSG00000137575.12"	"SDCBP"	"protein_coding"	4.11812746343995e-05	-0.711582074062332	114.398350656136	0.790297339593114
"22"	"bacterial_infection<>viral_infection"	"ENSG00000140379.9"	"BCL2A1"	"protein_coding"	0.00710075237522503	-1.09121232681463	69.4914255003775	0.790297339593114
"23"	"bacterial_infection<>viral_infection"	"ENSG00000111144.10"	"LTA4H"	"protein_coding"	4.29379102203097e-05	-0.685763831622299	72.5413425621041	0.787689097548252
"24"	"bacterial_infection<>viral_infection"	"ENSG00000122359.18"	"ANXA11"	"protein_coding"	0.000129792431382302	-0.366270975233809	107.701638412423	0.786645800730308
"25"	"bacterial_infection<>viral_infection"	"ENSG00000132510.11"	"KDM6B"	"protein_coding"	0.000194083738599691	-0.792275440157646	106.351243369759	0.786645800730308
"26"	"bacterial_infection<>viral_infection"	"ENSG00000141480.18"	"ARRB2"	"protein_coding"	5.31922694467845e-05	-0.618023989505532	131.055153638757	0.785080855503391
"27"	"bacterial_infection<>viral_infection"	"ENSG00000132589.16"	"FLOT2"	"protein_coding"	1.30058883608813e-05	-0.770125578216167	121.830617043989	0.781950965049557
"28"	"bacterial_infection<>viral_infection"	"ENSG00000197006.14"	"METTL9"	"protein_coding"	1.72333187042365e-05	-0.661863896760482	77.0507042819351	0.77829942618675
"29"	"bacterial_infection<>viral_infection"	"ENSG00000077420.16"	"APBB1IP"	"protein_coding"	0.00109652744861377	-0.55702926856126	124.684643171537	0.777256129368805
"30"	"bacterial_infection<>viral_infection"	"ENSG00000026025.16"	"VIM"	"protein_coding"	0.000297465040417527	-0.566798911688928	520.903434392696	0.776212832550861
"31"	"bacterial_infection<>viral_infection"	"ENSG00000133106.15"	"EPSTI1"	"protein_coding"	0.000312324608865059	1.06493653832349	259.833130116207	0.770996348461137
"32"	"bacterial_infection<>viral_infection"	"ENSG00000135636.15"	"DYSF"	"protein_coding"	1.13907396164347e-05	-1.26278800190112	151.500881271287	0.770996348461137
"33"	"bacterial_infection<>viral_infection"	"ENSG00000137642.13"	"SORL1"	"protein_coding"	0.00447019613773781	-0.964299256149449	85.6367936180821	0.770474700052165
"34"	"bacterial_infection<>viral_infection"	"ENSG00000137312.15"	"FLOT1"	"protein_coding"	1.95791620641551e-06	-0.803993692543268	102.605792966742	0.769953051643192
"35"	"bacterial_infection<>viral_infection"	"ENSG00000007237.19"	"GAS7"	"protein_coding"	1.95791620641551e-06	-1.03603864708404	66.4583165928131	0.767866458007303
"36"	"bacterial_infection<>viral_infection"	"ENSG00000084070.12"	"SMAP2"	"protein_coding"	0.00712110489160482	-0.588556768074018	151.127882005267	0.765779864371414
"37"	"bacterial_infection<>viral_infection"	"ENSG00000142657.21"	"PGD"	"protein_coding"	2.57841443116718e-05	-0.791573126544565	131.820640186601	0.763171622326552
"38"	"bacterial_infection<>viral_infection"	"ENSG00000188895.12"	"MSL1"	"protein_coding"	0.00264283960438574	-0.499827413433095	68.9148928228014	0.763171622326552
"39"	"bacterial_infection<>viral_infection"	"ENSG00000066336.12"	"SPI1"	"protein_coding"	0.000636427079611677	-0.799824769750403	202.624700010913	0.762649973917579
"40"	"bacterial_infection<>viral_infection"	"ENSG00000163220.11"	"S100A9"	"protein_coding"	1.19885969515586e-06	-1.33939181479007	1229.63050136032	0.761606677099635
"41"	"bacterial_infection<>viral_infection"	"ENSG00000059728.11"	"MXD1"	"protein_coding"	0.00258427263627174	-0.870679761535096	126.974847384558	0.757955138236828
"42"	"bacterial_infection<>viral_infection"	"ENSG00000075785.14"	"RAB7A"	"protein_coding"	0.000273061254757638	-0.311580666871008	199.138819182744	0.756390193009911
"43"	"bacterial_infection<>viral_infection"	"ENSG00000163947.12"	"ARHGEF3"	"protein_coding"	0.0015345962081587	0.552333175568157	74.6162633848282	0.755868544600939
"44"	"bacterial_infection<>viral_infection"	"ENSG00000130775.16"	"THEMIS2"	"protein_coding"	0.000486115322657466	-0.736497333370219	95.7351121860858	0.755346896191967
"45"	"bacterial_infection<>viral_infection"	"ENSG00000136167.15"	"LCP1"	"protein_coding"	0.00950874100534129	-0.440280082638164	653.50427795016	0.754825247782994
"46"	"bacterial_infection<>viral_infection"	"ENSG00000169180.12"	"XPO6"	"protein_coding"	0.00439645826138408	-0.563085491371077	81.0902388635948	0.752738654147105
"47"	"bacterial_infection<>viral_infection"	"ENSG00000177156.11"	"TALDO1"	"protein_coding"	0.000962294984109147	-0.46199584201087	237.66877843013	0.752738654147105
"48"	"bacterial_infection<>viral_infection"	"ENSG00000160932.11"	"LY6E"	"protein_coding"	0.0324091556463007	0.835928547164451	63.9269538267194	0.752217005738132
"49"	"bacterial_infection<>viral_infection"	"ENSG00000133961.21"	"NUMB"	"protein_coding"	0.000848465466484653	-0.49039009032071	99.4285078841624	0.75169535732916
"50"	"bacterial_infection<>viral_infection"	"ENSG00000101336.18"	"HCK"	"protein_coding"	0.000565574947136638	-0.930643216428435	110.152489223587	0.751173708920188
"51"	"bacterial_infection<>viral_infection"	"ENSG00000185650.10"	"ZFP36L1"	"protein_coding"	0.0147196836844875	-0.617526656594674	146.23948939526	0.750130412102243
"52"	"bacterial_infection<>viral_infection"	"ENSG00000118564.15"	"FBXL5"	"protein_coding"	0.000297465040417527	-0.553073564035755	70.0121307654877	0.749608763693271
"53"	"bacterial_infection<>viral_infection"	"ENSG00000100504.17"	"PYGL"	"protein_coding"	0.0176458098848823	-0.725763132541897	90.9138785555238	0.748565466875326
